"chain_name","seed_id","imitation_id","text","n","is_english"
"glass",34,34,"atinga",1,0
"glass",34,34,"bubtedew",1,0
"glass",34,34,"bugongong",1,0
"glass",34,34,"clipapap",1,0
"glass",34,34,"cluclaclut",1,0
"glass",34,34,"didingdink",1,0
"glass",34,34,"oqueo",1,0
"glass",34,34,"patinka",1,0
"glass",34,34,"ta-ting-go",1,0
"glass",34,34,"ting-ding",1,0
"glass",34,34,"tintanging",1,0
"glass",34,34,"uheehu",1,0
"glass",34,524,"damnanin",1,0
"glass",34,524,"danamaynaynay",1,0
"glass",34,524,"danamememe",1,0
"glass",34,524,"dananamimi",1,0
"glass",34,524,"dananananaaann",1,0
"glass",34,524,"dananananeigh",1,0
"glass",34,524,"dananananie",1,0
"glass",34,524,"danananee",1,0
"glass",34,524,"dananeenanee",1,0
"glass",34,524,"dannananee",1,0
"glass",34,524,"dannenenene",1,0
"glass",34,524,"danninanime",1,0
"glass",34,524,"dannnnannnannmay",1,0
"glass",34,524,"daynahnaynaynay",1,0
"glass",34,524,"dehnininee",1,0
"glass",34,524,"demaningningning",1,0
"glass",34,524,"denenene",1,0
"glass",34,524,"denenenene",1,0
"glass",34,524,"denuhnuh-nehneh",1,0
"glass",34,524,"dn-n-n-nee-nee",1,0
"glass",34,533,"dundunda",3,0
"glass",34,533,"da da da",1,0
"glass",34,533,"dadada",1,0
"glass",34,533,"dadadaaa",1,0
"glass",34,533,"dududah",1,0
"glass",34,533,"duh duh daw",1,0
"glass",34,533,"duhduhduh",1,0
"glass",34,533,"duhnduhnda",1,0
"glass",34,533,"dumbdat",1,0
"glass",34,533,"dumdunta",1,0
"glass",34,533,"dumpty",1,0
"glass",34,533,"dun dun da",1,0
"glass",34,533,"dun-dun-dah",1,0
"glass",34,533,"dun-dun-duh",1,0
"glass",34,533,"dunduh",1,0
"glass",34,533,"dundundah",1,0
"glass",34,533,"dundundao",1,0
"glass",34,533,"dundunduh",1,0
"glass",34,533,"dundunta",1,0
"glass",34,538,"da-ti-ti-tic",1,0
"glass",34,538,"daatt tiitititititi",1,0
"glass",34,538,"datadta",1,0
"glass",34,538,"deetdedededeet",1,0
"glass",34,538,"detetete",1,0
"glass",34,538,"didedede",1,0
"glass",34,538,"didududi",1,0
"glass",34,538,"dihdihdihdih",1,0
"glass",34,538,"dit dededit",1,0
"glass",34,538,"ditclchclchclchclch",1,0
"glass",34,538,"ditdidididiw",1,0
"glass",34,538,"ditditiditditdit",1,0
"glass",34,538,"ditduthiditdit",1,0
"glass",34,538,"dootditditdootdit",1,0
"glass",34,538,"duttatooto",1,0
"glass",34,538,"ghut",1,0
"glass",34,538,"gkkk",1,0
"glass",34,538,"gutututut",1,0
"glass",34,538,"kehtshehtshetshehtsheh",1,0
"glass",34,538,"qwuckdikadikick",1,0
"glass",34,538,"suhdidid",1,0
"glass",34,538,"tahtatatata",1,0
"glass",34,538,"teh tuhtuhtuh teh",1,0
"glass",34,538,"tic-kiki-kiki",1,0
"glass",34,538,"tich",1,0
"glass",34,538,"too-tu-tu-tu-tu",1,0
"glass",34,544,"blahblahblah",2,0
"glass",34,544,"ablablablablah",1,0
"glass",34,544,"blablabla",1,0
"glass",34,544,"blablablablabla",1,0
"glass",34,544,"blahabang",1,0
"glass",34,544,"blahblahblahblahblah",1,0
"glass",34,544,"blay",1,0
"glass",34,544,"bluh bluh bluh bluh bluh",1,0
"glass",34,544,"bluhbluhbluhbluhbluh",1,0
"glass",34,544,"chchrayblablablablablaheytoldyatapethelapdogreadytogo",1,0
"glass",34,544,"falithayblahblahblahblah",1,0
"glass",34,544,"fff pla blah blah blah blah",1,0
"glass",34,544,"fray-blahh",1,0
"glass",34,544,"fwishfwishmayblahblahblahblah",1,0
"glass",34,544,"heyblablablablaheytoldyououtsidelotdogreadytogo",1,0
"glass",34,544,"heyshhhblablablabla",1,0
"glass",34,544,"maah blababablaba",1,0
"glass",34,544,"mayblablabla",1,0
"glass",34,544,"meeehhh bla bla bla bla",1,0
"glass",34,544,"meh babla-wawa",1,0
"glass",34,544,"mehhh blah blah blah",1,0
"glass",34,544,"pffreebeepblahblablablablatowtrucksattheloty'allreadytogo",1,0
"glass",34,544,"rorbababago",1,0
"glass",34,566,"dundunda",9,0
"glass",34,566,"dundundah",2,0
"glass",34,566,"dundunduh",2,0
"glass",34,566,"dahduhda",1,0
"glass",34,566,"duh duh dah",1,0
"glass",34,566,"dun dun dah",1,0
"glass",34,566,"dun-du-dah",1,0
"glass",34,566,"dunduhduh",1,0
"glass",34,566,"dundunta",1,0
"glass",34,566,"tantata",1,0
"glass",34,566,"temthemda",1,0
"glass",34,566,"tunduntah",1,0
"glass",35,35,"breetu",1,0
"glass",35,35,"clappun",1,0
"glass",35,35,"clinket",1,0
"glass",35,35,"cribbett",1,0
"glass",35,35,"eeka",1,0
"glass",35,35,"grink",1,0
"glass",35,35,"ka-tick",1,0
"glass",35,35,"katink",1,0
"glass",35,35,"klak",1,0
"glass",35,35,"klickitt",1,0
"glass",35,35,"klika",1,0
"glass",35,35,"kricht",1,0
"glass",35,35,"likop",1,0
"glass",35,502,"goracto",5,0
"glass",35,502,"gorecto",3,0
"glass",35,502,"correcto",2,0
"glass",35,502,"directo",2,0
"glass",35,502,"dorakdo",1,0
"glass",35,502,"garecto",1,0
"glass",35,502,"garratto",1,0
"glass",35,502,"garrotto",1,0
"glass",35,502,"gorakdoh",1,0
"glass",35,502,"gorato",1,0
"glass",35,502,"gorcto",1,0
"glass",35,502,"gordato",1,0
"glass",35,502,"gorracto",1,0
"glass",35,502,"roracto",1,0
"glass",35,502,"ygoradtdo",1,0
"glass",35,516,"chrech droawl",1,0
"glass",35,516,"ckriii- kkkraaa",1,0
"glass",35,516,"creacrooww",1,0
"glass",35,516,"creekahh",1,0
"glass",35,516,"creik ya",1,0
"glass",35,516,"crkt drrauh",1,0
"glass",35,516,"crunchah",1,0
"glass",35,516,"grrrcraah",1,0
"glass",35,516,"kehwaahan",1,0
"glass",35,516,"kroar",1,0
"glass",35,516,"pft-wraat",1,0
"glass",35,516,"psshgraa",1,0
"glass",35,516,"pwilk-plah",1,0
"glass",35,516,"rackgluhuh",1,0
"glass",35,516,"reverse lugy spit",1,0
"glass",35,520,"mmmmmmmm",2,0
"glass",35,520,"ehn",1,0
"glass",35,520,"emmmmmm",1,0
"glass",35,520,"mhmm",1,0
"glass",35,520,"mmgh",1,0
"glass",35,520,"mmm",1,0
"glass",35,520,"mmmmh",1,0
"glass",35,520,"mmmmm",1,0
"glass",35,520,"mmmmmm",1,0
"glass",35,520,"mmmmmmmmmm",1,0
"glass",35,520,"mmmmmmmmmmmm",1,0
"glass",35,520,"mmmmmmmmmmmmum",1,0
"glass",35,520,"mmmuhuh",1,0
"glass",35,520,"mmunm",1,0
"glass",35,520,"mrrrrreerrr",1,0
"glass",35,520,"nmmmnnn",1,0
"glass",35,520,"nnnn",1,0
"glass",35,520,"nnnng",1,0
"glass",35,520,"nnnnnn",1,0
"glass",35,520,"nnnnnuh",1,0
"glass",35,520,"saydasausageummmum",1,0
"glass",35,520,"tinkn",1,0
"glass",35,520,"uhnnnnn",1,0
"glass",35,520,"ummmmmm",1,0
"glass",35,520,"ummum",1,0
"glass",35,520,"unnnnmmm",1,0
"glass",35,554,"rantant",2,0
