subj_id,survey_name,seed_id,text,text_category,question_type,choice_filename,choice_category,is_correct
A002160837SWJFPIAI7L7,match_to_seed_1,41,sheah,tear,category,glass-34,glass,0
A002160837SWJFPIAI7L7,match_to_seed_1,47,veep,zipper,exact,zipper-47,zipper,1
A002160837SWJFPIAI7L7,match_to_seed_1,39,a chechyu,tear,exact,tear-39,tear,1
A002160837SWJFPIAI7L7,match_to_seed_1,49,iszit,zipper,category,tear-39,tear,0
A002160837SWJFPIAI7L7,match_to_seed_1,45,glongglong,water,category,water-42,water,1
A002160837SWJFPIAI7L7,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A002160837SWJFPIAI7L7,match_to_seed_1,35,gorecto,glass,category,zipper-47,zipper,0
A002160837SWJFPIAI7L7,match_to_seed_1,42,chewscutcutsew,water,exact,tear-39,tear,0
A11FBJMD5UHH39,match_to_seed_1,39,a-chitch-shu,tear,exact,glass-34,glass,0
A11FBJMD5UHH39,match_to_seed_1,41,sheyah,tear,category,zipper-47,zipper,0
A11FBJMD5UHH39,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A11FBJMD5UHH39,match_to_seed_1,49,Izzzit,zipper,category,zipper-47,zipper,1
A11FBJMD5UHH39,match_to_seed_1,34,dundundah,glass,exact,glass-34,glass,1
A11FBJMD5UHH39,match_to_seed_1,45,glongglong,water,category,water-42,water,1
A11FBJMD5UHH39,match_to_seed_1,35,goracto,glass,category,glass-34,glass,1
A11FBJMD5UHH39,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1497L153RMH2L,match_to_seed_2,49,izit,zipper,exact,zipper-49,zipper,1
A1497L153RMH2L,match_to_seed_2,35,Goracto,glass,exact,glass-35,glass,1
A1497L153RMH2L,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1497L153RMH2L,match_to_seed_2,34,dundunduh,glass,category,glass-35,glass,1
A1497L153RMH2L,match_to_seed_2,45,glonglong,water,exact,water-45,water,1
A1497L153RMH2L,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A1497L153RMH2L,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A1497L153RMH2L,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,42,chewchewshewa,water,exact,water-42,water,1
A1A3TGZ7DKJWRW,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1A3TGZ7DKJWRW,match_to_seed_1,49,iszit,zipper,category,tear-39,tear,0
A1A3TGZ7DKJWRW,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
A1A3TGZ7DKJWRW,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1A3TGZ7DKJWRW,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,39,a-chitch-shu,tear,exact,tear-39,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,35,gorecto,glass,category,water-42,water,0
A1GF29TP5AVQ49,match_to_seed_1,45,glongglong,water,category,tear-39,tear,0
A1GF29TP5AVQ49,match_to_seed_1,49,Izzzit,zipper,category,tear-39,tear,0
A1GF29TP5AVQ49,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1GF29TP5AVQ49,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A1GF29TP5AVQ49,match_to_seed_1,47,veep,zipper,exact,zipper-47,zipper,1
A1GF29TP5AVQ49,match_to_seed_1,35,goracto,glass,category,water-42,water,0
A1GF29TP5AVQ49,match_to_seed_1,39,a-chitch-shu,tear,exact,zipper-47,zipper,0
A1GF29TP5AVQ49,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1HH2KZIFLXRJL,match_to_seed_1,35,gorecto,glass,category,tear-39,tear,0
A1HH2KZIFLXRJL,match_to_seed_1,42,chewscutcutsew,water,exact,tear-39,tear,0
A1HH2KZIFLXRJL,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
A1HH2KZIFLXRJL,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1HH2KZIFLXRJL,match_to_seed_1,41,sheah,tear,category,tear-39,tear,1
A1HH2KZIFLXRJL,match_to_seed_1,39,a-chitch-shu,tear,exact,tear-39,tear,1
A1HH2KZIFLXRJL,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1HH2KZIFLXRJL,match_to_seed_1,49,izzit,zipper,category,tear-39,tear,0
A1HKYY6XI2OHO1,match_to_seed_1,45,galonggalong,water,category,water-42,water,1
A1HKYY6XI2OHO1,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1HKYY6XI2OHO1,match_to_seed_1,34,dundunduh,glass,exact,glass-34,glass,1
A1HKYY6XI2OHO1,match_to_seed_1,35,Goracto,glass,category,glass-34,glass,1
A1HKYY6XI2OHO1,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A1HKYY6XI2OHO1,match_to_seed_1,49,izzit,zipper,category,zipper-47,zipper,1
A1HKYY6XI2OHO1,match_to_seed_1,47,veeb,zipper,exact,tear-39,tear,0
A1HKYY6XI2OHO1,match_to_seed_1,39,a chechyu,tear,exact,glass-34,glass,0
A1JRTUDSDO6TQF,match_to_seed_2,47,veep,zipper,category,zipper-49,zipper,1
A1JRTUDSDO6TQF,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1JRTUDSDO6TQF,match_to_seed_2,34,dundunduh,glass,category,water-45,water,0
A1JRTUDSDO6TQF,match_to_seed_2,41,sheyah,tear,exact,tear-41,tear,1
A1JRTUDSDO6TQF,match_to_seed_2,39,a-chitch-shu,tear,category,tear-41,tear,1
A1JRTUDSDO6TQF,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
A1JRTUDSDO6TQF,match_to_seed_2,35,goracto,glass,exact,zipper-49,zipper,0
A1JRTUDSDO6TQF,match_to_seed_2,49,Izzzit,zipper,exact,zipper-49,zipper,1
A1KFK92GEFQ9F5,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
A1KFK92GEFQ9F5,match_to_seed_2,39,a-chitch-shu,tear,category,water-45,water,0
A1KFK92GEFQ9F5,match_to_seed_2,47,veeb,zipper,category,glass-35,glass,0
A1KFK92GEFQ9F5,match_to_seed_2,34,dundunda,glass,category,water-45,water,0
A1KFK92GEFQ9F5,match_to_seed_2,49,Izzzit,zipper,exact,zipper-49,zipper,1
A1KFK92GEFQ9F5,match_to_seed_2,42,chewchewshewa,water,category,tear-41,tear,0
A1KFK92GEFQ9F5,match_to_seed_2,41,cheea,tear,exact,glass-35,glass,0
A1KFK92GEFQ9F5,match_to_seed_2,35,gorecto,glass,exact,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,35,goracto,glass,exact,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,34,dundunda,glass,category,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,39,a chechyu,tear,category,water-45,water,0
A1TARNH07A75CG,match_to_seed_2,49,Izzzit,zipper,exact,glass-35,glass,0
A1TARNH07A75CG,match_to_seed_2,45,glonglong,water,exact,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,41,shiyah,tear,exact,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,47,veeb,zipper,category,tear-41,tear,0
A23B9UVYZ52CL0,match_to_seed_1,35,goracto,glass,category,tear-39,tear,0
A23B9UVYZ52CL0,match_to_seed_1,39,a chechyu,tear,exact,tear-39,tear,1
A23B9UVYZ52CL0,match_to_seed_1,49,Izzzit,zipper,category,zipper-47,zipper,1
A23B9UVYZ52CL0,match_to_seed_1,47,veeb,zipper,exact,glass-34,glass,0
A23B9UVYZ52CL0,match_to_seed_1,34,dundunduh,glass,exact,water-42,water,0
A23B9UVYZ52CL0,match_to_seed_1,42,chewchewshewa,water,exact,water-42,water,1
A23B9UVYZ52CL0,match_to_seed_1,41,shiyah,tear,category,tear-39,tear,1
A23B9UVYZ52CL0,match_to_seed_1,45,galonggalong,water,category,tear-39,tear,0
A27OZ504B5JU63,match_to_seed_2,34,dundundah,glass,category,water-45,water,0
A27OZ504B5JU63,match_to_seed_2,49,izzit,zipper,exact,tear-41,tear,0
A27OZ504B5JU63,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
