"message_id","audio","chain_id","parent_id","generation","rejected","verified","start_at","end_at","game_name","chain_name","message_name","seed_id"
56,"words-in-transition/glass/gen-1.wav",5,35,1,"False","True",0,NA,"words-in-transition","glass","gen-1.wav",35
101,"words-in-transition/glass/gen-1_9gYpt5j.wav",5,34,1,"False","True",0,NA,"words-in-transition","glass","gen-1_9gYpt5j.wav",34
72,"words-in-transition/glass/gen-1_F0cAlFW.wav",5,36,1,"False","True",0,NA,"words-in-transition","glass","gen-1_F0cAlFW.wav",36
143,"words-in-transition/glass/gen-1_HV1p8aC.wav",5,35,1,"False","True",0,NA,"words-in-transition","glass","gen-1_HV1p8aC.wav",35
277,"words-in-transition/glass/gen-1_HtsPsq5.wav",5,36,1,"False","True",0,NA,"words-in-transition","glass","gen-1_HtsPsq5.wav",36
63,"words-in-transition/glass/gen-1_K9FsqKG.wav",5,37,1,"False","True",0,NA,"words-in-transition","glass","gen-1_K9FsqKG.wav",37
215,"words-in-transition/glass/gen-1_QVSgb9i.wav",5,37,1,"False","True",0,NA,"words-in-transition","glass","gen-1_QVSgb9i.wav",37
111,"words-in-transition/glass/gen-1_RA3b9vT.wav",5,36,1,"False","True",0,NA,"words-in-transition","glass","gen-1_RA3b9vT.wav",36
116,"words-in-transition/glass/gen-1_VAFHGHd.wav",5,34,1,"False","True",378.76993871,2457.6003,"words-in-transition","glass","gen-1_VAFHGHd.wav",34
210,"words-in-transition/glass/gen-1_YglT06j.wav",5,37,1,"False","True",0,NA,"words-in-transition","glass","gen-1_YglT06j.wav",37
87,"words-in-transition/glass/gen-1_diq3vqw.wav",5,35,1,"False","True",2045.38505,4133.16182342,"words-in-transition","glass","gen-1_diq3vqw.wav",35
172,"words-in-transition/glass/gen-1_dzEIAbC.wav",5,35,1,"False","True",0,NA,"words-in-transition","glass","gen-1_dzEIAbC.wav",35
159,"words-in-transition/glass/gen-1_j4Kcygt.wav",5,34,1,"False","True",0,NA,"words-in-transition","glass","gen-1_j4Kcygt.wav",34
61,"words-in-transition/glass/gen-1_klusIw4.wav",5,35,1,"False","True",0,NA,"words-in-transition","glass","gen-1_klusIw4.wav",35
245,"words-in-transition/glass/gen-1_zgYVy52.wav",5,37,1,"False","True",0,NA,"words-in-transition","glass","gen-1_zgYVy52.wav",37
136,"words-in-transition/glass/gen-1_zq5v7MJ.wav",5,34,1,"False","True",0,NA,"words-in-transition","glass","gen-1_zq5v7MJ.wav",34
34,"words-in-transition/glass/seed.wav",5,NA,0,"False","True",0,NA,"words-in-transition","glass","seed.wav",34
35,"words-in-transition/glass/seed_SxvBNjg.wav",5,NA,0,"False","True",0,NA,"words-in-transition","glass","seed_SxvBNjg.wav",35
36,"words-in-transition/glass/seed_cUc3ZE4.wav",5,NA,0,"False","True",73.8461538462,600,"words-in-transition","glass","seed_cUc3ZE4.wav",36
37,"words-in-transition/glass/seed_xdtwqdU.wav",5,NA,0,"False","True",127.938461538,3024,"words-in-transition","glass","seed_xdtwqdU.wav",37
51,"words-in-transition/tear/gen-1.wav",6,38,1,"False","True",0,NA,"words-in-transition","tear","gen-1.wav",38
138,"words-in-transition/tear/gen-1_3tBcMPH.wav",6,39,1,"False","True",0,NA,"words-in-transition","tear","gen-1_3tBcMPH.wav",39
91,"words-in-transition/tear/gen-1_4qe8mOJ.wav",6,41,1,"False","True",0,NA,"words-in-transition","tear","gen-1_4qe8mOJ.wav",41
204,"words-in-transition/tear/gen-1_8f4V57G.wav",6,40,1,"False","True",0,1080.97825385,"words-in-transition","tear","gen-1_8f4V57G.wav",40
140,"words-in-transition/tear/gen-1_CH4m78r.wav",6,40,1,"False","True",0,NA,"words-in-transition","tear","gen-1_CH4m78r.wav",40
59,"words-in-transition/tear/gen-1_LTMjyD7.wav",6,41,1,"False","True",0,NA,"words-in-transition","tear","gen-1_LTMjyD7.wav",41
86,"words-in-transition/tear/gen-1_OnSYP8u.wav",6,39,1,"False","True",1996.8,4551.84516129,"words-in-transition","tear","gen-1_OnSYP8u.wav",39
54,"words-in-transition/tear/gen-1_SfUP0hs.wav",6,38,1,"False","True",0,NA,"words-in-transition","tear","gen-1_SfUP0hs.wav",38
145,"words-in-transition/tear/gen-1_Xd3oZMl.wav",6,40,1,"False","True",0,NA,"words-in-transition","tear","gen-1_Xd3oZMl.wav",40
114,"words-in-transition/tear/gen-1_YBkTRFE.wav",6,41,1,"False","True",0,NA,"words-in-transition","tear","gen-1_YBkTRFE.wav",41
71,"words-in-transition/tear/gen-1_c57E7V5.wav",6,38,1,"False","True",0,NA,"words-in-transition","tear","gen-1_c57E7V5.wav",38
110,"words-in-transition/tear/gen-1_eWPpA95.wav",6,40,1,"False","True",678.40005,2750.07354358,"words-in-transition","tear","gen-1_eWPpA95.wav",40
135,"words-in-transition/tear/gen-1_vcA2JMS.wav",6,39,1,"False","True",275.692307692,1599.01538462,"words-in-transition","tear","gen-1_vcA2JMS.wav",39
98,"words-in-transition/tear/gen-1_xAAeHMZ.wav",6,39,1,"False","True",0,NA,"words-in-transition","tear","gen-1_xAAeHMZ.wav",39
62,"words-in-transition/tear/gen-1_xAaXkg5.wav",6,38,1,"False","True",0,NA,"words-in-transition","tear","gen-1_xAaXkg5.wav",38
100,"words-in-transition/tear/gen-1_zQoEAYR.wav",6,41,1,"False","True",0,NA,"words-in-transition","tear","gen-1_zQoEAYR.wav",41
38,"words-in-transition/tear/seed.wav",6,NA,0,"False","True",0,NA,"words-in-transition","tear","seed.wav",38
39,"words-in-transition/tear/seed_14TGyOq.wav",6,NA,0,"False","True",0,NA,"words-in-transition","tear","seed_14TGyOq.wav",39
40,"words-in-transition/tear/seed_MLO509m.wav",6,NA,0,"False","True",0,NA,"words-in-transition","tear","seed_MLO509m.wav",40
41,"words-in-transition/tear/seed_kEFWfwa.wav",6,NA,0,"False","True",0,NA,"words-in-transition","tear","seed_kEFWfwa.wav",41
50,"words-in-transition/water/gen-1.wav",7,43,1,"False","True",0,NA,"words-in-transition","water","gen-1.wav",43
209,"words-in-transition/water/gen-1_0WfvRvk.wav",7,43,1,"False","True",0,NA,"words-in-transition","water","gen-1_0WfvRvk.wav",43
137,"words-in-transition/water/gen-1_4opXEQZ.wav",7,42,1,"False","True",0,NA,"words-in-transition","water","gen-1_4opXEQZ.wav",42
52,"words-in-transition/water/gen-1_5PkhmA6.wav",7,45,1,"False","True",0,NA,"words-in-transition","water","gen-1_5PkhmA6.wav",45
220,"words-in-transition/water/gen-1_8X1vNOE.wav",7,44,1,"False","True",0,NA,"words-in-transition","water","gen-1_8X1vNOE.wav",44
95,"words-in-transition/water/gen-1_CkkNYyc.wav",7,45,1,"False","True",0,NA,"words-in-transition","water","gen-1_CkkNYyc.wav",45
88,"words-in-transition/water/gen-1_FU8op1B.wav",7,43,1,"False","True",2290.23667097,6826.667,"words-in-transition","water","gen-1_FU8op1B.wav",43
153,"words-in-transition/water/gen-1_Hu4AAhH.wav",7,44,1,"False","True",0,NA,"words-in-transition","water","gen-1_Hu4AAhH.wav",44
224,"words-in-transition/water/gen-1_PB2ocgt.wav",7,43,1,"False","True",0,NA,"words-in-transition","water","gen-1_PB2ocgt.wav",43
64,"words-in-transition/water/gen-1_PMHZFm6.wav",7,45,1,"False","True",0,NA,"words-in-transition","water","gen-1_PMHZFm6.wav",45
115,"words-in-transition/water/gen-1_PhnHKIl.wav",7,42,1,"False","True",303.589711538,2331.56898462,"words-in-transition","water","gen-1_PhnHKIl.wav",42
112,"words-in-transition/water/gen-1_RARKT6l.wav",7,42,1,"False","True",0,NA,"words-in-transition","water","gen-1_RARKT6l.wav",42
92,"words-in-transition/water/gen-1_SSDpR1g.wav",7,44,1,"False","True",0,NA,"words-in-transition","water","gen-1_SSDpR1g.wav",44
73,"words-in-transition/water/gen-1_VY7KGxT.wav",7,42,1,"False","True",0,NA,"words-in-transition","water","gen-1_VY7KGxT.wav",42
214,"words-in-transition/water/gen-1_WHTBlab.wav",7,44,1,"False","True",0,NA,"words-in-transition","water","gen-1_WHTBlab.wav",44
240,"words-in-transition/water/gen-1_eVCHPk0.wav",7,45,1,"False","True",0,NA,"words-in-transition","water","gen-1_eVCHPk0.wav",45
58,"words-in-transition/water/gen-1_vjFVZYs.wav",7,42,1,"False","True",0,NA,"words-in-transition","water","gen-1_vjFVZYs.wav",42
42,"words-in-transition/water/seed.wav",7,NA,0,"False","True",0,NA,"words-in-transition","water","seed.wav",42
44,"words-in-transition/water/seed_HK1ZPsf.wav",7,NA,0,"False","True",0,NA,"words-in-transition","water","seed_HK1ZPsf.wav",44
45,"words-in-transition/water/seed_YqBaNHe.wav",7,NA,0,"False","True",0,NA,"words-in-transition","water","seed_YqBaNHe.wav",45
53,"words-in-transition/zipper/gen-1.wav",8,47,1,"False","True",0,NA,"words-in-transition","zipper","gen-1.wav",47
60,"words-in-transition/zipper/gen-1_0CctGtT.wav",8,46,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_0CctGtT.wav",46
65,"words-in-transition/zipper/gen-1_0bg2H3E.wav",8,49,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_0bg2H3E.wav",49
118,"words-in-transition/zipper/gen-1_7gau3UE.wav",8,49,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_7gau3UE.wav",49
141,"words-in-transition/zipper/gen-1_A2chacM.wav",8,48,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_A2chacM.wav",48
55,"words-in-transition/zipper/gen-1_Cz5Hj76.wav",8,46,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_Cz5Hj76.wav",46
97,"words-in-transition/zipper/gen-1_GpBioBr.wav",8,49,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_GpBioBr.wav",49
89,"words-in-transition/zipper/gen-1_HyXeIbc.wav",8,46,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_HyXeIbc.wav",46
105,"words-in-transition/zipper/gen-1_Leq8t0t.wav",8,48,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_Leq8t0t.wav",48
70,"words-in-transition/zipper/gen-1_S9iSkF7.wav",8,48,1,"False","True",2340.57145,3645.68271935,"words-in-transition","zipper","gen-1_S9iSkF7.wav",48
103,"words-in-transition/zipper/gen-1_V7d4NFT.wav",8,48,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_V7d4NFT.wav",48
90,"words-in-transition/zipper/gen-1_XKU805E.wav",8,46,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_XKU805E.wav",46
132,"words-in-transition/zipper/gen-1_eqkbAZV.wav",8,49,1,"False","True",0,1203.85624231,"words-in-transition","zipper","gen-1_eqkbAZV.wav",49
113,"words-in-transition/zipper/gen-1_j72o0yS.wav",8,47,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_j72o0yS.wav",47
139,"words-in-transition/zipper/gen-1_jcgXUr4.wav",8,47,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_jcgXUr4.wav",47
94,"words-in-transition/zipper/gen-1_rabZml7.wav",8,49,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_rabZml7.wav",49
117,"words-in-transition/zipper/gen-1_rakUKUj.wav",8,47,1,"False","True",0,NA,"words-in-transition","zipper","gen-1_rakUKUj.wav",47
46,"words-in-transition/zipper/seed.wav",8,NA,0,"False","True",0,NA,"words-in-transition","zipper","seed.wav",46
49,"words-in-transition/zipper/seed_4SsN51C.wav",8,NA,0,"False","True",0,NA,"words-in-transition","zipper","seed_4SsN51C.wav",49
48,"words-in-transition/zipper/seed_9LHQOgu.wav",8,NA,0,"False","True",0,NA,"words-in-transition","zipper","seed_9LHQOgu.wav",48
